Mfr Name,Carline,Eng Displ,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Air Aspiration Method Desc,Trans Desc,# Gears,Drive Desc,Annual Fuel Cost - Conventional Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class Desc,Release Date,Stop/Start System (Engine Management System)  Description,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted
aston martin,V12 Vantage,5.2,12,Auto(A8),14,22,Turbocharged,Automatic,8,"2-Wheel Drive, Rear",3400,2,2,Two Seaters,6/29/22,No,659,413
aston martin,Vantage V8,4,8,Auto(A8),18,24,Turbocharged,Automatic,8,"2-Wheel Drive, Rear",2750,2,2,Two Seaters,4/29/22,No,494,364
Volkswagen Group of,R8 Coupe quattro,5.2,10,Auto(AM-S7),13,18,Naturally Aspirated,Automated Manual- Selectable,7,All Wheel Drive,3650,2,2,Two Seaters,7/29/22,No,663,479
Volkswagen Group of,R8 Coupe RWD,5.2,10,Auto(AM-S7),14,23,Naturally Aspirated,Automated Manual- Selectable,7,"2-Wheel Drive, Rear",3200,2,2,Two Seaters,7/29/22,No,621,384
Volkswagen Group of,R8 GT RWD,5.2,10,Auto(AM-S7),14,21,Naturally Aspirated,Automated Manual- Selectable,7,"2-Wheel Drive, Rear",3200,2,2,Two Seaters,10/21/22,No,612,423
Volkswagen Group of,R8 Spyder quattro,5.2,10,Auto(AM-S7),13,18,Naturally Aspirated,Automated Manual- Selectable,7,All Wheel Drive,3650,2,2,Two Seaters,7/29/22,No,663,479
Volkswagen Group of,R8 Spyder RWD,5.2,10,Auto(AM-S7),14,23,Naturally Aspirated,Automated Manual- Selectable,7,"2-Wheel Drive, Rear",3200,2,2,Two Seaters,7/29/22,No,621,384
Volkswagen Group of,TT Roadster,2,4,Auto(AM-S7),23,30,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,1750,2,2,Two Seaters,7/1/22,Yes,391,294
BMW,Z4 M40i,3,6,Auto(S8),23,31,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2100,2,2,Two Seaters,11/1/22,Yes,386,280
BMW,Z4 sDrive30i,2,4,Auto(S8),25,33,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",1950,2,2,Two Seaters,11/1/22,Yes,351,266
Volkswagen Group of,Chiron,8,16,Auto(AM-S7),9,14,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,5000,2,2,Two Seaters,9/2/22,No,1010,632
Volkswagen Group of,Chiron Pur Sport,8,16,Auto(AM-S7),8,11,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,6100,2,2,Two Seaters,9/2/22,No,1135,788
Volkswagen Group of,Chiron Super Sport,8,16,Auto(AM-S7),8,11,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,6100,2,2,Two Seaters,9/2/22,No,1135,788
General Motors,CORVETTE,6.2,8,Auto(S8),16,24,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",2350,1,1,Two Seaters,4/20/22,No,576,371
General Motors,CORVETTE Z06,5.5,8,Auto(S8),12,21,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",3650,2,2,Two Seaters,8/5/22,No,731,433
General Motors,CORVETTE Z06 CARBON AERO,5.5,8,Auto(S8),12,19,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",3900,2,2,Two Seaters,8/5/22,No,754,480
Ferrari,812 Competizione,6.5,12,Auto(AM7),12,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",3900,2,2,Two Seaters,7/1/22,Yes,724,564
Ferrari,812 Competizione A,6.5,12,Auto(AM7),12,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",3900,2,2,Two Seaters,7/1/22,Yes,727,550
Ferrari,812 GTS,6.5,12,Auto(AM7),12,15,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",4200,2,2,Two Seaters,7/1/22,Yes,733,581
Ferrari,F8 Spider,3.9,8,Auto(AM7),15,18,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",3400,2,2,Two Seaters,7/1/22,Yes,606,487
Ferrari,F8 Tributo,3.9,8,Auto(AM7),15,19,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",3400,2,2,Two Seaters,7/1/22,Yes,605,462
Ferrari,Ferrari Daytona SP3,6.5,12,Auto(AM7),12,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",4200,2,2,Two Seaters,7/1/22,Yes,745,556
